comentario,valor
"Book somewhere else!. Place was run down, in need of modernising. Nothing really there, uncomfy beds, tiny kitchen, you have to pay extra for everything like a fan, safe, washing etc. Wasn't impressed at all",Bad
"Buenavista staff totally unhelpful!!!. Apartment was ok, clean enough ... staff not helpful .... wouldn't even let us check in after 4 as reception was closed but we didn't land until 4.45! Luckily we had relatives that could collect key or we would've had to cancel and lose flight £ as there was no other apartments available except Ones costing 5 x the amount!!!
Room wasn't cleaned until our last day and they did not give us anymore toilet roll even though there was only 1/4 roll left ! For a family of four with two kids this was ridiculous!!! Two single beds for family of four .... not a comfortable holiday! Room was very dated! It was fairly cheap tho so I suppose I get what u pay for! The shower head if turned on too high flew out its holder and nearly knocked me out, not ideal for kids! Wouldn't like to hav an emergency in these apartments as they are totally unmanned for 4pm until 10am the following morning ! God forbid anyone where to lose their key as the emergency phone number is on the inside of the locked gate!  Also no clean towels until last day which were replaced with hand towels !!!",Bad
"Bugs for your bucks. Garage with old furniture. Smelly old towels and bed bugs, still feel itchy. Worst experience ever! Spend your money elsewhere!!",Bad
"Cheap but crappy. This is quite easy: you get what you pay for! There is no point in complaining about standard etc at this price. However: its's not very difficult to clean a room. The only clean items in the room, was the bed sheets (I think. And hope). 
It's a perfect hostel if you're at a tight budget and don't have hifh expectations",Bad
"Cheap but not that cheerful. Rooms outdated 
Food very very samey and not great
Too basic
Too far away",Bad
"Cheap hostel but don't expect any luxury.. Very noisy hostel (bring earplugs!), you could hear everything from the corridor and other rooms, extremely dirty bathrooms, no hot water 24/7, rooms were not cleaned during the whole 9 days stay !, staff didn't always speak English, cold rooms (bring extra warm blanket).
Consider staying in some other hostel.",Bad
"Cheap room. Bad condition. Bathroom unclean, noicy doors, pubic hair on blankets, smoking in the rooms made the smell terrible.",Bad
"Cheap, but very scuzzy.. Basically very poor even though cheap.",Bad
Check if refurb going on before you pay. First room given after 6 hr wait was like being on a building site No info on facilities available Refuse not emptied  for 4 days,Bad
"Cleanliness poor . No access to the outside and we asked for outdoor space before the stay , windows and doors didn't lock properly , no clean towels or maid service all week , oven shelf too big to fit in the oven , live wires exposed in living area , light not working in the bedroom , sink in the bathroom Leaked all over bathroom floor and in main entrance whole in the ceiling where water was everywhere , plus building work through the night which kept us awake , and top this all off we've tried to contact main office by mobile and office phone but no one ever answers , I've stayed in Gran Canaria over 20 times over the years it's the worst place I've ever stayed ",Bad
"Cockroach in bathtub!!. First day we found a cockroach in bathtub !! It's terrible, and when we asked a reception to clean it. Just some one come and got that with towel !!  Hotel rooms need to be renewing! At all I never return to this hotel. And the wifi in lobby is awful!",Bad
"Cockroach, spiders and more. We booked a studio for 2, it was old and dirty. Many spiders, a cockroach, all the glasses were dirty like if they were used and never clean. We paid 50€ for 1 night, which is very expensive for such a place. In comparison, we had a night in another hotel for 43€ that was way cleaner.",Bad
"cockroaches. cockroaches - even when we were moved to the highest luxury apartment with anti-pest devices plugged in, there were cockroaches in our bedroom and kitchen",Bad
"Cockroaches.. Cockroaches.
No kitchen utensils.
All block of concrete. No green.",Bad
Coffee was good.. Dead leaves constantly in the pool.,Bad
"Cold.. It is far too expensive for wat you get.
It is cold on the mountain.The hostess doesn't speak any English. There are no isolation in the house, it is cold and and draughty. In the house is an ant nest. Ants are everywhere, the only place without ants is the fridge. Internet falls out dayly. The hot water is not really hot, you will have to wait a while before you can shower.
Summary: It is not a place for people with kids or if you intend to go the beach. It is for people who want to be on the mountain and enjoy the view in a winter jacket and a hat.",Bad
"Concrete jungle prison block. The room had a damp smell, light fittings hanging out, no hot water, tiles blown in the bathroom. I paid 120 euros per night. What a rip off. When I complained they just smiled and said there nothing they can do. It was a 1960's concrete jungle.",Bad
"Creepiest place i have ever stayed. It was dirty, dark, noisy and wrecked. Booked two nights, stayed only one. Wasnt worth the suffering.",Bad
Criminal. nan,Bad
мраааааааааакк!. мрааааааак!,Bad
"Decadent and crap Chinese Hostel. Decadente Chinese Hostel. Bad beds, no wi-fi in the bedrooms...very noisy...",Bad
Depressing place to stay.. We didn't like everything! Worst hotel we have ever stayed at.,Bad
"Depressingly disappointing. Overcrowded hotel that charges far too much for spartan rooms.. The checking in process took longer than the transfer from the airport.
Breakfast was noisy crowded and would you believe in Tenerife they ran out of bananas.
The bedroom had a lovely big sun terrace but no sun beds on it.
The noise from the PA system round the pool is deafening.",Bad
"Did not enjoy my stay there at all the room smelled of smoke,suposed to be a no smoking room??. I booked the Bonanza Palace but was put in the Canarife Palace which is not what I wanted.
The showers were dangerous as they came boiling hot every 30 seconds???",Bad
Dilapidated and overpriced.. Dilapidated and overpriced.,Bad
"Dirty apartment, infested, poor furnishings!. The apartment had not been cleaned - it was dirty!!!  It was also infested with mini ants which crawled all surfaces! I had to clean long black hair out of the drawers before we could put clothes in and sweep the floor of dirt and hair.  There was dust on the kitchenware and on the bath.
The furniture was extremely basic - 2 twin single beds in the bedroom, not the most comfortable with one of the beds continually squeaking.  The sofa bed in the lounge was hard and small suitable for only 2 small children (mine were teenagers).  There were no pillows other than those on the sofa which were like concrete.  I had to borrow some from a friends apartment.  The lounge was also very light so difficult to have a lie in.",Bad
"dirty room. found an used comdon as soon as I got into the room on the floor. 
complaint in reception. they only apologised.",Bad
Disapointment. Most of it,Bad
Disappointed. Cats all over the hotel including the restaurant  no one are able to speak English in the restaurant,Bad
"Disappointing - Expensive for Service. The name of the accommodation on booking is not correct, the exact name is DANUBIO.La terrace north (almost no sun in March !!) overlooks the aitoroute and the fast road: noise-pollution!
Housing on the 2nd floor without elevator in inner courtyard.Parking too small, often complete.In the evening, karaoke in neighboring hotel!
Internet: null, every connection must be reintroduced a code with numbers and letters, even if we suspend a few minutes.
The morning of the departure water cut: impossible to take a shower!
EQUIPMENT :
No microwave-Beds: 2x 1 single bed -Bathroom: hot water blocked by a mixer at 30 degrees, too cold! -Boiler too small for dishes and shower for two people, boiler of 25 liters!
Oven: there is nothing to take the hot dishes or to place them neither potholders nor flat protector -Sink: the stopper leaks, does not keep the water ...
Dishes: minimum for two people ...",Bad
"Disappointing stay. The hotel has a good location but does not warrant a 3 star status.
Rooms are very dated and there seems to be a lack of understanding as to what a customer requires in 2017.
The bathroom was distgusting, mould on grouting, tiles were painted to make them look like new ????? Photos available !!
The hotel staff are obviously working on a fine budget and work hard.
But there did not seem to be anyone ""managing "" the hotel at all.
Great pity as it could be much better",Bad
Disaster from the start. No aircon in any room. Rooms not suitable for family's. Staff didn't speak great English. All inclusive finishes at 10.30 not worth it. Food was always cold.,Bad
Disgusted. The staff were not helpful at all I paid for 3 nights and only stayed for 1 night I was in tears at one point only to have a door shut in my face,Bad
Disgusted at treatment and no management available to us until Monday.. First apartment was unclean and we refused it. Alternative was fine for first 4 hours and then told we had to move because another customer requested it. Complex turned off our water when we declined move offer. We moved under duress and the apt moved another couple into it on the same evening.,Bad
"dissapointing.. Difficult to find. Had to pay extra for TV, A/C, wi-fi, safety box. On arrival I was lectured on not having 'visitor's' to my room. Everything was tired and dated. Gym was dangerous. Kitchen ill equipped and didn't even have a kettle or oven. Toaster didn't work and gave small electric shocks. Sink was clogged.",Bad
dissaster... explained in the latter.,Bad
"Do not ""be-live"" a single word!. - Long queues for check-in, it took almost 50 minutes.
- All-inclusive concept is deceitful, they charge money for almost everything. 
- Spa is not included ""all inclusive"" concept, so photos here are deceitful. They only provide one-time entrance, and the indoor spa pool and the Jacuzzi is far from being warm.
- Food was really low in quality. Breads are stale. 
- They even charge extra money for weigh for luggage.
- There is only free wi-fi literally next to the reception desk and the signal is extremely low so there is no wi-fi in the restaurant, lobby or in the rooms. However if you want to pay extra more for wi-fi although you are staying there ""all-included"" they have another wi-fi network where you can connect anywhere.
- They charge 1 euro for entering the spa for the flip-flops they provide. The amount of money is not a problem, but the thing is if you go to an all-inclusive hotel you don't want to carry coins and money, it ruins the whole experience.",Bad
"do not book a budget or standard room. the apartment was terrible, kicked in doors, extremely unclean, bathroom smelled of urine, wardrobe smelly & dirty, frozen up freezer could not get anything in there, beds like rock, 1 flat pillow, reception would not change our towels after 4 days as their policy is 5 days!!! floor tiles in need of steam cleaning very dirty. ants on kitchen worktop,",Bad
"DO NOT BOOK HERE. As we first came in to the hotel (Friday 16 September 2016) with very high expectations we got to our room we reserved exactly TWO months ago with a king size bed so I can share with my partner and came to see we got a room with two separate beds and a broken door, we came back to reception and told them that we are not satisfied with the room because we did not reserve this type of bed (with proof) and the reactions were unforgivable to say the least - they took an hour to look for a new room for us without one apology and made us feel as like it was our fault because we reserved our room threw booking.com and claimed they have problems with the website (NOT OUR PROBLEM) and by the end the only solution they gave us at the reception was to upgrade our room and pay more!!- after they made the mistake, we met with the manager after not agreeing to upgrade and the manager of the day did not give us any eye contact or apology but after 15 min he found us a room. About the room itself- The bed was sandy from day one until day six, we had a problem with the fire alarm because of the steam from the shower and yet once again the horrible staff at the reception ordered a technician to come fix the problem the next morning at 11:00am without managing with us as guests when will it be convenient for us but instead we were in the shower and had to yell threw the bathroom to come back in 15 min- ridiculous. The worst staff we've ever met, never coming back!",Bad
"DO NOT ENTER ROOMS 001 and 002!. 1. We booked a suite for 3 people with non-smoking option and requirement of quiet room (travelling with a child). Upon the arrival we were proposed to use room Nr. 001 which looked very good but smelled like a tobacco plant. Seems like generations of smokers lived there. In order to avoid that odour we moved to the next and sole available apartment Nr. 002 which was twice smaller. The toilet seat was broken, the shower always jumped out its holder when you switched the water on and off (finally fixed it with a duct tape). The noise at the room was incredible as it was located right behind the reception and you heard every word and every cry of the babies or youngsters passing by. However after 3 nights the staff moved us to other room 103 which was rather good and comfortable. They were really sorry for that experience but could do nothing as the hotel was fully booked.
2. The cleanliness needs improvement. you will find lot of dust and hairs under the the beds and the bed clothes (especially for the third optional bed) had some yellow stains.
3. You are required to pay in advance and to write down credit card details in a special form (save the PIN and CVC) for the reason ""If you brake something in the room"". Looks very suspicious and unpleasant. Hope the staff used that option to claim damages from smokers who poisoned room 001.
4. TV sets are built into the furniture, so you have no chance to connect anything to the TV.",Bad
"Do not stay in estudio 21 at the Villamar. Cockroaches, Urine stained mattress, Peeling plaster, etc. Plaster peeling off the walls, Patio doors extremely difficult to open and close, and when closed not sealed against draughts, locks not working. Mattress urine stained, and mismatched bedding linen, raggedy pillows. Shower hose split and unusable, two days to fix. Strong urine smell from drain, etc. etc.",Bad
"Don't accept room L11. The room we were allocated should not be let out at all.   It is right next to the service area where staff, electric buggies and delivery vehicles come and go from early morning to late at night.",Bad
Don't bother. Noisy reception closed a lot of time had to hire out hair dryer,Bad
Don't go. Disco until 4am right oposite....sooo loud so no sleep. Wasn't informed about this before I booked and uts on every night...don't go 😨,Bad
"Don't go here !!. The hotel is old and dated. Cockroaches in our room,   the area smells , needs updating . Too far from anything  , not at all like the pictures",Bad
"Don't go there. Check in too long and unfriendly staff at the reception, free parking is a lie, you have to find a place somewhere in the city and it is quite difficult to find one
The breakfast area is like a canteen, it is crowded and loud",Bad
"Don't stay here,the advertising photos aren't reality!. No air con in room or reception or the bar,wi-fi didn't work even though you had paid for it,shower flooded,had to pay for safe,beds uncomfortable,room not suitable for 5 adults,balcony tiny,sun beds broken,no double bed,no privacy!Our room for 5 adults was 2 single rooms with the adjoining door off,tiny!",Bad
Dont waste your time and money. First of all u r welcomed by the smell of urine on the entrance (due to the nasty cats people feed ) The swimming pools are nasty under neath the water shouldnt really be called a water its chloride solution that u r supposed to swim in. Everything is outdated not just in the apartments but in maspalomas its a post nuclear outcome all over the place. Just to clarify I booked the so called 'superior flat' . The flat hasne been cleaned or repaired since they first built it probably 10 years ago. The walls are nasty and need repaining. The doors are broken and need replacing. The shower is beyond disgusting. There are spider nets all over the place and Im sure this place have never been cleaned properly. And btw they never cleaned the flat during my stay and there is no mop or what so ever . The beds are uncomfortable and even tho Im not picky I was forced to turn the matress over (hoping it will get any better) or sleep on thr sofa . The pillow and towels are from pre historic era cant even describe how uncomfortable they are. And dont think that self catering is good idea in such apartments because there is no oven and small hobs the frying pan is a joke so tiny that it looks like a toy. For the money I paid I could've gotten cleaner and better place.,Bad
"Evening meal ok. The noise we got no sleep and left the next morning,walls and doors paper thin and our room was on the roadside with a noisy bar and nightclub opposite room number 157.Not for me!",Bad
expensive & very dissapointing.. dirty room moved twice builders doing construction work round pool area made it noisy & dirty wasn't informed when booked would not have stayed there.,Bad
"Falta restauracion total. Bufete, ventanas no son insonoras",Bad
Food was excellent. Wi-Fi problems all week,Bad
"Free wifi when it worked & being close to shopping centre. Staff made you feel unwelcome , keys were forever not working , no air con in rooms , no facilities around pool for most of the holiday due to manager being on holiday, we could not get a drink , snack or ice lolly for children which I find as false advertising to what we booked.",Bad
"Good breakfast.. The hotel is not working properly. Things take way too much time to come. The restaurants have slow and poor service. Some of the hotel personal is rood and answer you back. 
They charge you for everything way more than they should.",Bad
"Great kids entertainment, great customer service in the bar.... On the other outside bar(not the bar by the pool),few members of staff were rude and they were making rude comments, rooms are not as clean as they should be,really disappointed.",Bad
"Greedy hotel. Hotel is very greedy. I booked room with half board. Half board by definition means breakfast and dinner. But they charged extra for water or juice in dinner. So called free WiFi - costed 10 eur / day. So called free parking costed 10 eur/day. And the towels was very used. It's not that I cannot pay for these services, it's hidden and not previously agreed  costs that makes overall experience in this hotel very bad.",Bad
"Grottsville.     Not a place we would return to ever. Entrance to apartment strewn with rubbish still there 8 hours after reporting it.  Stained pillow,no pillowcase. This was rectified. Filthy patio table which appeared not to have been cleaned for weeks. Whole apartment had a grubby feel and look.    Unbearably hot even late at night, so spent much of the night outside on the patio as unable to sleep. The fans were totally inadequate. The whole apartment needs  some serious attention  We consider we should be eligible for a refund and would appreciate your early response",Bad
Had a lot of breaking no comfort in room kettle had 3pin.... Had a lot of breaking no comfort in room kettle had 3pin plug which can't fit in 2pin wall sockett I didn't like anything will never stay there again or recommend it very noisy,Bad
Horrendously expensive for a 3rd rate hotel in dire need of.... Horrendously expensive for a 3rd rate hotel in dire need of renovation. Dismal facilities. We were placed in a room right above a night club. NO discernible soundproofing whatsoever. Avoid this place.,Bad
"Horror!!! Terrible!!!!ужасно!. 1. There was a very wet room, without adecuate wind sweeten, but((( we had a lot of flys in bath and bedroom
2. I had to ask cleaning lady to clear our room, and the terriblest thing was that one day she ""made"" our room, but left all bed clothes wet and dirty( travelling with small child)",Bad
Huge disappointment!. Almost everything!,Bad
"Huge disappointment.. Booking.com pictures vs reality was far from the truth. Apartment was a huge disappointment and we really felt that we bought something which did not exist at the venue. Apartments no 12 should not be sold with pics, which are presented at booking.com!",Bad
"I cannot recommend that place.. We have been there for 7 nights/days and apartment was cleaned just once. But, 'cleaned' is really too big word, there have only been changed the towels. We bought the internet access but it was not only extremely slow but limited to just one device as well. I definitely do not recommend that place.",Bad
"I enjoyed my whole holiday just been in gran caneras,but.... Staff not accommodating at all, everything a problem .Cleaning staff seem to rule management  which i find most bizarre.Very badly managed .Very expensive for such a poorly run  and shabby complex.I  could go on forever but no point. Wont be staying again.",Bad
"I enjoyed the weather and the guided walks, the golf and the meals out and visiting Caleta.. This is a very tired hotel in a dirty area",Bad
I got a cold bottle of water very fast.. Everything looked poor!,Bad
"I would never stay in it again. We stayed there for 10 days the first night we came home from being out haven food there were thousands of ants all over the kitchen,in my shoes all over our bed, all over our food we only bought that day and we had to trow it all out. The next day we got moved to a different room because we had bites all over our body for the ants so we asked could we move so that was grand we moved to a different one to find a lizard running around that was grand we wore there for another 7 days not once did anyone even try come in and as much as try to change the bins. Then sitting on the balcony one night haven a few drinks we seen a rat playing down at the bins we were terrified to even leave our windows open in the night",Bad
"Iberostar Hotel Anthelia are Robbers. Although I booked (an outrageously expensive) ""room with bath""  they put us in a terrible little hole called a ""modern"" room with no bath, no shelf space for clothes, no table or desk space, automatic flood in bathroom when took shower, no bathroom door-lock or even -catch - so toilet & sitter visible from outside the ""closed"" door!! -& worst of all they refused to change us to a civilised room for 24 hours -despite robbing me of £400 for 24 hours with DBB in that hole!!",Bad
"In fact nothing. I booked and prepaid for 4 apartments in January 2014, which would be used for 14 days in late October / November 2014, ie 10 months later. In our traveling companions there were 4 young children from the youngest one half years to the oldest of three years, specified in the order. In addition, we sent an email to BB where we requested that the apartments were next to each other, and that was why we were early on order.
When we arrived the 18 of oct. the surprise was therefore great when the apartments were far apart. When we a bit frustrated asked why, the response was that they could not arrange it on such short notice ?? 10 months !! After a discussion, we got three apartments close to each other, but all four apartments were far away as possible from the pool / reception / output. The elevator took us to the level 2 and from there we had to take us to plan 5 where our apartments were. With four young children in strollers, there was a trial of strength to go in several long stairways.
2 of the apartments were in poor condition, with broken refrigerator, loosely toilet, errors with oven and ceiling fans did not work. The patio in the same two apartments were very limited and not very child friendly because of large trees and shrubs, which also hindered visibility.
The service level of the staff in the pool bar, restaurant and reception was not very customer friendly.
Bought 3 weeks WIFI connection for 5 concurrent users, but it worked poorly. When I contacted the front desk, they apologized only.  I took direct contact with the supplier, and the revealed errors at level 5, as the parent, but the net was always very unstable and it was only sometimes it was possible to email or read the newspaper online.
No,  it will be never Bahia Blanca for me and my family. There are better places in Puerto Rico. If there is worse? .. I really do not know.",Bad
"Internet is lousy. This hotel charges 8 euros a day for a slow Internet connection, only one device allowed, and in the reception area only. There is no wifi at all in the apartments.",Bad
"It was okay. But not very good for children.. We had half pension. We were shocked to hear that no drinks (not even water) was included in the dinner. We should pay cash for the drinks, every time we ate dinner and it was not possible put the bill on the room. The dinner was SI and so. We did not see any remote control for TV or AC. Not enough soap, towel or clean sheets....",Bad
"its quite cheap, really near yumbo and nothing else good. super old apartment, not clean, they dont wash the dishes, cleaners not polite at all, uncomfortable mattress, shower lacking water and really small, so many apartments from local people in the building so could be really crowd as they are used to fit the whole family and friends in those small apartments (specially weekends), even if reception tries to control it with a wrist band for tourist ppl (but not working) and they still invading the common areas. the receptionist wasnt the clever guy ever (wrong info, wrong paper work, difficulty while paying separately , even if it was in his own language) the woman receptionist had to fix everything later, she was nice.",Bad
Laguna Park 2 hell hole . Cleanliness was terrible ants cochroaches and Bedbugs in apartment never stay here again came. Home on early flight ,Bad
"Laguna Park One..... Never again !!!. The cleaners didn't clean !! The kitchen was invaded by huge cockroaches, there was plaster coming off the wall, the pull out double sofa bed that was described in the apartment itinerary was in fact just an old sofa & not a sofa bed and could only sleep one person,  and had an old single camp bed in the corner of the lounge. the patio door lock kept getting stuck. the apartment was filthy, the bathroom door was not only suffering from unsightly wood rot but also had a brocken door lock, it would lock but wouldn't unlock leaving my partner trapped in the bathroom. we went down to reception to speak to them about the issue's, their response was ""sorry but all the apartments are the same""... Overall very disappointed, never again !!!",Bad
"Large appartements, close to dunes. pld facilities, pay tv, no air conditioning, far from the center",Bad
"Lazy staff, no free wifi in the rooms.. Lazy staff, no free wifi in the rooms. And the rooms have mold.",Bad
"Like falling down into a black hole.. Standard of appartement and poor poor cleaning . dont match the picture on the webside.
the rooms was terrible",Bad
"Liked room with sea view .. Beds and pillows  terrible could not have good sleep , cockroaches running in restaurant, cleaner do not do her job as supposed to...and location is not good quite  far from the sea and beach....",Bad
"location. shower,noisy location and staff very unhelpfull and grumpy",Bad
Location. Not proper bedding no bulbs in bathroom had to wait  for 6 days for new ones had to shower in dark was very disappointed,Bad
"Location
. We have just returned from a 10 nights all inclusive here and its awful
cold food at all meal times,bugs in restaurant and apartment, bar
service intermittent Complained to reception who said manager would be
in tomorrow no manager seen for 6 days!!!!!! Do not stay here
",Bad
"Location and pool area. Lack of preparation/Cleanliness
Floors covered in dust and grime
Cockroaches in cupboards
Bathroom door did not close 
Bedroom curtains hanging off
Satellite tv consisted of  7 channels and no remote
Dirty microwave and fridge.
Slats on back of couch all broken
No kettle to boil water 
No cover on sitting area light",Bad
"location good,. no bus service from beach
25mins.walk downhill to beach.no inventory for apartment,so missing items ie toaster,kettle ect.television was rubbish,two English channels,bad value for money,will not be going their again,15euro deposit for tv control,what a joke",Bad
"Location great apartment not so good. Was charged 30 euros for cleaning although it was previously included in the overall price the apartment was swarmed with ants and dead cockroaches scattered around!! Towels had a bad smell had to request an iron, hairdryer didn't work neither did some rings on the hob!! I was also charged an extra 14 euros for internet but had to use my own data as internet was worse than useless",Bad
"Location to beach pretty good, pool looked nice and roof top.... Lack of cleanliness and very poor quality.
Pillow cases too small for pillows and ends stuck out.
Beds hard and foldaway.
Settee extremely hard and unusable.
Bins only emptied once during our stay.
Electrical wires exposed and plug sockets hanging off wall- very dangerous.
Routine maintenance occurring to bathroom while we were in the room!! This left a lingering smell of mastic in the air for some time.
Bathroom floor flooded each time one took a shower.
The spiral staircase to the roof terrace had no guard rail and a lattice board at the end through which no pressure should be put on, an accident waiting to happen!
Breakfast- not pleasant.Very poor quality and cold.
The 80 steps to our room around many bends and alleyways. No mention of difficult access anywhere! To be avoided if you have mobility issues or lots of luggage.
Pool not heated and not a soul in it as it was too cold.
Definately not value for money or worth the money paid to stay here.
I would not stay here again or recommend this hotel to anyone, the dangerous electrics, access issues and lack of cleanliness/quality were the main factors.",Bad
"Location was excellent. No courtesy room
Had to get up early to reserve sun beds
Partial sea view room overlooked bins
No courtesy room on check out and very dirty showers in the gym (and only one of the two was working)",Bad
"Location was great.. Overpriced for the facilities, we were told it would be a see view it wasn't. There was no air conditioning, it was fans that barely worked meaning the apartment was hotter than outside.  They did work in the room on the first day, didn't tell us and then left bits on the bed and floor which we nearly tripped over.  There was no wifi which as I had to work was a nightmare.  I book with booking.com a lot and have usually been happy but this will probably prevent me from doing so again.",Bad
"Location.. Cockroaches everywhere; in the kitchen, in the bed, in bathroom, even in the luggages inside the clothes. Impossible to use the kitchen. Very old hotel, terrible beds. Definitely a bad choice, would never stay there again.",Bad
"Location.. Below our expectations. Dirty, smelly, bathroom mouldy, no blankets, no clean sheets every day... this pretty much spoilt our holidays.",Bad
"Look for another hotel to have a good vacation.
. The hotel is not as described. Only 20% of all rooms has any view. The
staff is not worrying about your requests. I left after only few days
being there but still can not get the refund for prepaid and not used
days. For me it looks like fraud. Stay away from this place.
",Bad
"Loved Maspalomas. The apartment was extremely poor for the price of a self catering. No kettle, toaster or oven. Just two rings of a hob on the worktop. When we asked for a kettle and toaster the management were very rude. Sand over the surfaces of most things in the living area missed by the cleaner coming in every day.",Bad
"Lovely swimming pool clean in and around the pool
. Staff attitude very poor and unhelpful location in the middle of nowhere
so have to take a taxi everytime you go out and the hotel charge you to
call for a taxi, then the taxi driver charges you for a call out charge,
some also charge to put a pram In the boot, then they add an addition
surcharge for I don't know what! The room was damp, windows wet
every morning cockroach in the bathroom cleanliness of apartment was
very poor beds were the worst I have slept in every night when we got
into bed it felt damp as the room was damp
",Bad
"Lovely View, but cleanliness was horrible. Room was cleaned once out of the 4 days we stayed there ! Food is not convenient for vegetarians, i had a half board and all i could eat was bread and some salad. There is no signs to say what food has meat, so i had to guess and check the food most of the time.",Bad
"Many restrictions, no seaview,  unpleasant stay.. We spend a week in the hotel. Impression was not good because of the way how the hotel is managed. We paied for partial seaview, but had no seaview. Hotel was not able to make a reservation of the 2 rooms next to each other even I called and asked for it ahead. We spent long time by waiting for everything, entrance to dinning room, clean beach towels, sport equipment - table tenis racket, towels in gym, check-in.....etc.  Everything was complicated. At the entrance of the dining hall was a cue due to admin worker filling some paper work for each guest every time. One family in front of us waiting 20 minutes with the daughter on crutches has been required to go back due to not compliance with the dress code. Inside pool is empty because children below 12 are not allowed to enter despite the water in outside pool was too cold for kids to play in. Also inside pool is open only from 10 a.m till 5 p.m. Gym is also not allowed for the kids under age of 15. When I ordered a bicycle at the reception the supplier required me to keep it in the room. When I reluctantly accepted the hotel management asked me to sign the paper making me responsible for health and safety of the staff. Whatever you ask for you are requested to wait for customer relations manger to come and tell you that you will not get it.
Poor cleaning service.",Bad
"MASARU APARTAMENTOS DID NOT MEET THE ON LINE CRITERIA WHICH WE EXPECTED.. Staff attitudes, rooms not satisfactory, many guests were German and the hotel had no control over poor poolside behaviour.
Wifi connections were difficult.",Bad
"Maspalomas beach was nice!. The Koala Garden Suites is not as nice as would appear on the pictures.  The decor is out-dated the bathroom is falling apart and we found hair in the shower that did not belong to us.  
There is a reason they don't show the kitchen you have available in your room in the glossy picture because it's in a cupboard and it's very limited. I don't know how this hotel has a seemingly audacious rating of 7.1 on booking.com The simple stuff you would expect in your room like a hairdryer or a TV remote you have to pay extra or put down a deposit. TV remote, really? 
Oh, I had to spend 30 minutes lying to my girlfriend that it was beetle not a cockroach that ran through our living room one evening when we were watching TV, (it was a cockroach)",Bad
"never again. The apartment was in need of an upgrade ,it was sparse, the bare minimum of utensils and the furniture was outdated.The senior reception staff was a very grumpy man. The pool was not very clean, the sun beds were  tatty, rusty and mattresses ,which also were not very clean ,had to be collected and returned to a lock up after use.",Bad
"Never again!!!. Reception and bar do not exist. They are there but constantly closed and there is no information when they are open. To check in you need to call for staff and wait 30 minutes even if you did provide time of arrival.
Reception staff incredible rude!!! We got party in the pool next door and couldn't sleep after whole day trip. We called around midnight to request to change the room. Person arrived after half an hour and asked me what I want as he was driving for 30 minutes... Few rooms where provided but either still to close to party pool or to other rooms where was party too. When I asked the guy why he is not doing anything with it as there is night silence after 23, he told me to go back home if I do not like it!!!!! When I requested refund and wanted to change the hotel finally I got quiet room. This kind of person should not work in the hospitality as it is shame for this island. As reception was closed all the time I was not able to speak with manager directly.",Bad
"Never stay again. The property was dirty sheets had stains the staff were rude and facilities they say they provide they don't, staff won't help when you have a problem and would never stay here again.",Bad
"New years eve buffet was nice. Before we came. The pictures of the Hotel were beautiful. The place, when we arrived, were not!
Missing lights, a cat in the room, alive insects in the room, bad beds, broken coffee maschine, room dirty, had to ask for to change the beds.",Bad
"Nice apartment, and pool area was cute. They dont have the parking and find a park was very difficult,they never cleaned the room,little insects in the kitcken",Bad
"Nice complex , but very poor outdated room. No air conditioning, bedroom was swimming with rainfall coming under door , suitcases got soaked as we had them packed and ready to leave the night before, my wife slipped in puddles getting up for bathroom in the night, paid for wi-if which didn't work in our room or on terrace, poor service changing towels every 5 days which were threadbare & very small, one toilet roll to last 5 days, management were clueless, speaking to other guests who paid same price had maid service every day and some 3days,they also had more updated rooms with air con, I'm was so disappointed in what we had to live in",Bad
"Nice heated pool .. Not a hotel . You pay for everything .wifi ,Towels , save ext.. 
Really noisy (street side flat) bars and  people yelling all night .",Bad
"Nice pool area
. No electric kettle
Oven didnt work
Dated furnisings
Broken kitchen units
Had to rent TV
No air con or fan",Bad
Nice relaxing week with good food.. Whole hotel was cold and did not seem to have any heating.  An indoor pool would be nice.,Bad
No assistance up the hills. Furniture beds etc,Bad
"non refurbished room in poor condition and noise throughout the stay. Massive roadworks outside the front of the building made unbearable noise from early morning for the whole trip. The clubs are so close at the back also that noise every night is until at least 3am. The rooms and floors not renovated (mine was not) are in terrible condition nothing nothing the photos, my room had a smashed window with glass protruding inwards, it had plaster filled halls in every door and cupboard door, a wardrobe with 6 hangers and a shelf over 6 feet up that was untraceable to store things in, entrance door had to be slammed to close it where it had clearly previously been broken through and the frame was broken, there was no tea and coffee maker as described, light fittings were smashed and hanging from the wall in the bedroom, there were lose cables causing trip hazards on balancing and living area, the kitchen surface was actually snapped and hanging down, some rooms had security bars across Windows mine didn't and finally there was lift where the door does not fully close as it moves. I will be Pershing a complaint and sending the rest of the photos.",Bad
Not a good stay. We requested a double/king bed and was offered a twin bed which eventually got stuck together to make a double bed after 3 follow up calls (over an hour). The excuse given was too many arrivals and couldn't cater for our needs in time.,Bad
Not a great experience.. Apartment was ground floor. Was a disgrace. No balcony or no view. Appeared to be a garage converted badly. Man in the reception was pure ignorant and everything was bother to him.,Bad
